Year,Rank,NOC,Gold,Silver,Bronze,Total,Country_x,Country_Mapped,Country_y,GDP_Per_Capita,Total_Population,Active_Population_Total
2004,23,Poland,3,2,5,10,Poland,Poland,Poland,7936.0,38165445.0,26823618.0
2004,24,New Zealand,3,2,0,5,New Zealand,New Zealand,New Zealand,27759.0,4133900.0,2746709.0
2004,25,Thailand,3,1,4,8,Thailand,Thailand,Thailand,2876.0,66017420.0,46459619.0
2004,26,Belarus,2,5,6,13,Belarus,Belarus,Belarus,3144.0,9663915.0,6742088.0
2004,11,Cuba,9,7,11,27,Cuba,Cuba,Cuba,3792.0,11262554.0,7826719.0
2004,28,Ethiopia,2,3,2,7,Ethiopia,Ethiopia,Ethiopia,157.0,78367470.0,39129986.0
2004,14,Romania,8,5,6,19,Romania,Romania,Romania,4668.0,21319685.0,14731322.0
2004,15,Greece,6,6,4,16,Greece,Greece,Greece,22295.0,10987314.0,7325957.0
2004,16,Brazil,5,2,3,10,Brazil,Brazil,Brazil,4773.0,184688101.0,123940957.0
2004,17,Norway,5,0,1,6,Norway,Norway,Norway,67041.0,4623291.0,3035207.0
2004,3,Russia,28,26,36,90,Russia,Russian Federation,Russian Federation,5365.0,143518814.0,101961173.0
2004,10,Great Britain,9,9,12,30,Great Britain,United Kingdom,United Kingdom,42117.0,60401206.0,39782765.0
2004,2,China,32,17,14,63,China,China,China,1752.0,1303720000.0,936278295.0
2004,65,Paraguay,0,1,0,1,Paraguay,Paraguay,Paraguay,2064.0,5448097.0,3257016.0
2008,10,France,7,16,20,43,France,France,France,40926.0,65026211.0,42063238.0
2008,33,Mongolia,2,2,0,4,Mongolia,Mongolia,Mongolia,2660.0,2738622.0,1869432.0
2008,3,Russia,24,13,23,60,Russia,Russian Federation,Russian Federation,10750.0,142849468.0,103034385.0
2008,4,Great Britain,19,13,19,51,Great Britain,United Kingdom,United Kingdom,39603.0,62766365.0,41364955.0
2008,18,Romania,4,1,4,9,Romania,Romania,Romania,8361.0,20246871.0,13851476.0
2008,82,Afghanistan,0,0,1,1,Afghanistan,Afghanistan,Afghanistan,537.0,28284089.0,13923141.0
2008,35,Argentina,2,0,4,6,Argentina,Argentina,Argentina,10377.0,41288694.0,26390623.0
2008,37,Belgium,2,0,0,2,Belgium,Belgium,Belgium,44213.0,10895586.0,7184817.0
2008,36,Mexico,2,0,2,4,Mexico,Mexico,Mexico,9823.0,113623895.0,72867533.0
2008,39,Slovenia,1,2,2,5,Slovenia,Slovenia,Slovenia,23410.0,2048583.0,1423651.0
2008,40,Azerbaijan,1,1,4,6,Azerbaijan,Azerbaijan,Azerbaijan,5727.0,9054332.0,6501079.0
2008,72,Samoa,0,1,0,1,Samoa,Samoa,Samoa,3589.0,193023.0,109402.0
2008,72,Malaysia,0,1,0,1,Malaysia,Malaysia,Malaysia,8880.0,28655776.0,19231028.0
2008,27,New Zealand,3,2,4,9,New Zealand,New Zealand,New Zealand,33711.0,4350700.0,2878163.0
2008,28,Georgia,3,2,2,7,Georgia,Georgia,Georgia,3191.0,3786695.0,2563390.0
2008,5,Germany,16,11,14,41,Germany,Germany,Germany,41763.0,81776930.0,53759044.0
2008,6,Australia,14,15,17,46,Australia,Australia,Australia,59100.0,22031750.0,14849809.0
2008,8,Japan,9,8,8,25,Japan,Japan,Japan,44956.0,128070000.0,81364210.0
